"時点","地域コード","地域","有効求人倍率【倍】","注記","新規求人倍率【倍】","注記","労働力人口（国勢調査）【人】","注記","第１次産業就業者数【人】","注記","第２次産業就業者数【人】","注記","第３次産業就業者数【人】","注記"
"2026年4月","35000","山口県","1.21","","1.52","","","","","","","","",""
"2026年4月","36000","徳島県","1.14","","1.67","","","","","","","","",""
"2026年4月","37000","香川県","1.30","","1.82","","","","","","","","",""
"2026年4月","38000","愛媛県","1.33","","1.78","","","","","","","","",""
"2026年4月","39000","高知県","1.08","","1.45","","","","","","","","",""
"2026年4月","40000","福岡県","1.01","","1.40","","","","","","","","",""
"2026年4月","41000","佐賀県","1.14","","1.33","","","","","","","","",""
"2026年4月","42000","長崎県","0.96","","1.17","","","","","","","","",""
"2026年4月","43000","熊本県","1.08","","1.41","","","","","","","","",""
"2026年4月","44000","大分県","1.05","","1.31","","","","","","","","",""
"2026年4月","45000","宮崎県","1.10","","1.36","","","","","","","","",""
"2026年4月","46000","鹿児島県","1.00","","1.37","","","","","","","","",""
"2026年4月","47000","沖縄県","0.92","","1.25","","","","","","","","",""
"2026年5月","01000","北海道","0.84","","1.66","","","","","","","","",""
"2026年5月","02000","青森県","1.02","","1.64","","","","","","","","",""
"2026年5月","03000","岩手県","1.02","","1.67","","","","","","","","",""
"2026年5月","04000","宮城県","1.00","","1.71","","","","","","","","",""
"2026年5月","05000","秋田県","1.05","","1.68","","","","","","","","",""
"2026年5月","06000","山形県","1.20","","1.87","","","","","","","","",""
"2026年5月","07000","福島県","1.11","","1.84","","","","","","","","",""
"2026年5月","08000","茨城県","1.01","","1.70","","","","","","","","",""
"2026年5月","09000","栃木県","1.03","","1.76","","","","","","","","",""
"2026年5月","10000","群馬県","1.12","","1.80","","","","","","","","",""
"2026年5月","11000","埼玉県","0.86","","1.60","","","","","","","","",""
"2026年5月","12000","千葉県","0.89","","1.48","","","","","","","","",""
"2026年5月","13000","東京都","1.60","","2.91","","","","","","","","",""
"2026年5月","14000","神奈川県","0.77","","1.38","","","","","","","","",""
"2026年5月","15000","新潟県","1.25","","2.00","","","","","","","","",""
"2026年5月","16000","富山県","1.37","","2.24","","","","","","","","",""
"2026年5月","17000","石川県","1.27","","2.44","","","","","","","","",""
"2026年5月","18000","福井県","1.46","","2.38","","","","","","","","",""
"2026年5月","19000","山梨県","1.33","","2.33","","","","","","","","",""
"2026年5月","20000","長野県","1.15","","2.06","","","","","","","","",""
"2026年5月","21000","岐阜県","1.34","","2.66","","","","","","","","",""
"2026年5月","22000","静岡県","1.00","","1.87","","","","","","","","",""
"2026年5月","23000","愛知県","1.14","","2.10","","","","","","","","",""
"2026年5月","24000","三重県","1.10","","1.89","","","","","","","","",""
"2026年5月","25000","滋賀県","0.95","","1.69","","","","","","","","",""
"2026年5月","26000","京都府","1.13","","2.05","","","","","","","","",""
"2026年5月","27000","大阪府","1.04","","2.03","","","","","","","","",""
"2026年5月","28000","兵庫県","0.85","","1.49","","","","","","","","",""
"2026年5月","29000","奈良県","1.02","","2.11","","","","","","","","",""
"2026年5月","30000","和歌山県","0.89","","1.56","","","","","","","","",""
"2026年5月","31000","鳥取県","1.17","","2.24","","","","","","","","",""
"2026年5月","32000","島根県","1.33","","2.11","","","","","","","","",""
"2026年5月","33000","岡山県","1.19","","2.16","","","","","","","","",""
"2026年5月","34000","広島県","1.24","","2.16","","","","","","","","",""
"2026年5月","35000","山口県","1.16","","1.83","","","","","","","","",""
"2026年5月","36000","徳島県","1.13","","2.25","","","","","","","","",""
"2026年5月","37000","香川県","1.28","","2.07","","","","","","","","",""
"2026年5月","38000","愛媛県","1.30","","2.19","","","","","","","","",""
"2026年5月","39000","高知県","1.05","","1.89","","","","","","","","",""
"2026年5月","40000","福岡県","0.98","","1.87","","","","","","","","",""
"2026年5月","41000","佐賀県","1.11","","1.82","","","","","","","","",""
"2026年5月","42000","長崎県","0.92","","1.51","","","","","","","","",""
"2026年5月","43000","熊本県","1.06","","2.01","","","","","","","","",""
"2026年5月","44000","大分県","1.02","","1.78","","","","","","","","",""
"2026年5月","45000","宮崎県","1.06","","1.72","","","","","","","","",""
"2026年5月","46000","鹿児島県","0.96","","1.68","","","","","","","","",""
"2026年5月","47000","沖縄県","0.90","","1.53","","","","","","","","",""
"1975年","01000","北海道","","","","","2515903","","396837","","638471","","1422645",""
"1975年","02000","青森県","","","","","708001","","230336","","130812","","325178",""
"1975年","03000","岩手県","","","","","714485","","244710","","161128","","295181",""
"1975年","04000","宮城県","","","","","941104","","214288","","225749","","481612",""
"1975年","05000","秋田県","","","","","628081","","204813","","141431","","269903",""
"1975年","06000","山形県","","","","","636115","","186797","","173024","","265485",""
"1975年","07000","福島県","","","","","1002413","","277477","","288168","","414907",""
"1975年","08000","茨城県","","","","","1160434","","313333","","359756","","465549",""
"1975年","09000","栃木県","","","","","857192","","175836","","307490","","358283",""
"1975年","10000","群馬県","","","","","889676","","175710","","316003","","378239",""
"1975年","11000","埼玉県","","","","","2215570","","198509","","866213","","1098980",""
"1975年","12000","千葉県","","","","","1919343","","266946","","600452","","1007223",""
"1975年","13000","東京都","","","","","5763642","","42879","","1928483","","3618620",""
"1975年","14000","神奈川県","","","","","2968560","","75719","","1190215","","1616723",""
"1975年","15000","新潟県","","","","","1262569","","285111","","406537","","552766",""
"1975年","16000","富山県","","","","","569354","","88779","","211487","","259242",""
"1975年","17000","石川県","","","","","547382","","75557","","186364","","275065",""
"1975年","18000","福井県","","","","","415859","","66856","","158232","","183983",""
"1975年","19000","山梨県","","","","","388432","","84156","","124341","","172444",""
"1975年","20000","長野県","","","","","1086942","","260736","","369264","","441856",""
"1975年","21000","岐阜県","","","","","953874","","113374","","410781","","414947",""
"1975年","22000","静岡県","","","","","1677303","","209812","","645598","","786671",""
"1975年","23000","愛知県","","","","","2930537","","194586","","1270251","","1407240",""
"1975年","24000","三重県","","","","","797615","","130872","","288779","","361606",""
"1975年","25000","滋賀県","","","","","495695","","87787","","189144","","210549",""
"1975年","26000","京都府","","","","","1174574","","78969","","421995","","642922",""
"1975年","27000","大阪府","","","","","3826288","","47202","","1546225","","2097439",""
"1975年","28000","兵庫県","","","","","2318936","","155839","","862533","","1232759",""
"1975年","29000","奈良県","","","","","473876","","53345","","159515","","250151",""
"1975年","30000","和歌山県","","","","","500513","","87405","","150660","","247245",""
"1975年","31000","鳥取県","","","","","314842","","78174","","82459","","147941",""
"1975年","32000","島根県","","","","","411629","","118438","","104811","","181897",""
"1975年","33000","岡山県","","","","","928806","","152419","","336950","","420059",""
"1975年","34000","広島県","","","","","1325766","","149202","","487888","","658126",""
"1975年","35000","山口県","","","","","779304","","133011","","239063","","388829",""
"1975年","36000","徳島県","","","","","405817","","93934","","119421","","179251",""
"1975年","37000","香川県","","","","","491229","","81872","","158266","","240244",""
"1975年","38000","愛媛県","","","","","706386","","149499","","209383","","325073",""
"1975年","39000","高知県","","","","","415904","","102231","","90476","","205819",""
"1975年","40000","福岡県","","","","","1992399","","191266","","591343","","1126542",""
"1975年","41000","佐賀県","","","","","407640","","102632","","104657","","188955",""
"1975年","42000","長崎県","","","","","702438","","152257","","164742","","359822",""
"1975年","43000","熊本県","","","","","818927","","227470","","172709","","394292",""
"1975年","44000","大分県","","","","","577544","","140550","","136677","","284393",""
"1975年","45000","宮崎県","","","","","535483","","151676","","116874","","249188",""
"1975年","46000","鹿児島県","","","","","822045","","251831","","173750","","370471",""
"1975年","47000","沖縄県","","","","","413248","","52834","","78983","","245897",""
"1980年","01000","北海道","","","","","2668789","","353178","","661597","","1582340",""
"1980年","02000","青森県","","","","","747049","","183912","","159089","","378687",""
"1980年","03000","岩手県","","","","","738930","","192263","","190535","","340026",""
"1980年","04000","宮城県","","","","","1010374","","159413","","271049","","557207",""
"1980年","05000","秋田県","","","","","639586","","147728","","172612","","303864",""
"1980年","06000","山形県","","","","","659711","","149449","","199879","","299490",""
"1980年","07000","福島県","","","","","1048947","","227744","","330978","","467857",""
"1980年","08000","茨城県","","","","","1263449","","264923","","410579","","565421",""
"1980年","09000","栃木県","","","","","911014","","147305","","335885","","411406",""
"1980年","10000","群馬県","","","","","937759","","148458","","344283","","427518",""
"1980年","11000","埼玉県","","","","","2510837","","161243","","953457","","1341697",""
"1980年","12000","千葉県","","","","","2203907","","234158","","660064","","1261227",""
"1980年","13000","東京都","","","","","5830024","","39650","","1805449","","3814487",""
"1980年","14000","神奈川県","","","","","3220673","","67361","","1206012","","1861431",""
"1980年","15000","新潟県","","","","","1292134","","228101","","429572","","614069",""
"1980年","16000","富山県","","","","","585297","","69618","","220906","","284763",""
"1980年","17000","石川県","","","","","577528","","62602","","193667","","311169",""
"1980年","18000","福井県","","","","","432083","","53303","","165600","","206068",""
"1980年","19000","山梨県","","","","","406286","","72775","","130830","","194843",""
"1980年","20000","長野県","","","","","1125489","","219041","","403209","","488877",""
"1980年","21000","岐阜県","","","","","1004631","","87256","","431085","","471442",""
"1980年","22000","静岡県","","","","","1778393","","184399","","689019","","869646",""
"1980年","23000","愛知県","","","","","3105618","","166269","","1292074","","1588973",""
"1980年","24000","三重県","","","","","829788","","102325","","302150","","406709",""
"1980年","25000","滋賀県","","","","","529052","","60961","","208216","","250556",""
"1980年","26000","京都府","","","","","1217791","","65175","","415759","","704146",""
"1980年","27000","大阪府","","","","","3941464","","40748","","1478189","","2285523",""
"1980年","28000","兵庫県","","","","","2379677","","123182","","839495","","1344259",""
"1980年","29000","奈良県","","","","","529351","","42496","","174512","","299560",""
"1980年","30000","和歌山県","","","","","514180","","80323","","148264","","270182",""
"1980年","31000","鳥取県","","","","","329416","","66078","","93313","","163702",""
"1980年","32000","島根県","","","","","421672","","93217","","120467","","201425",""
"1980年","33000","岡山県","","","","","946002","","122088","","338168","","463841",""
"1980年","34000","広島県","","","","","1358896","","123779","","469120","","732874",""
"1980年","35000","山口県","","","","","787813","","105894","","238327","","423274",""
"1980年","36000","徳島県","","","","","418361","","78364","","125759","","199899",""
"1980年","37000","香川県","","","","","511373","","70269","","161456","","267286",""
"1980年","38000","愛媛県","","","","","737289","","131558","","218969","","364395",""
"1980年","39000","高知県","","","","","431857","","88741","","97251","","228025",""
"1980年","40000","福岡県","","","","","2110105","","158807","","587888","","1272955",""
"1980年","41000","佐賀県","","","","","430418","","89583","","115588","","214132",""
"1980年","42000","長崎県","","","","","727399","","134742","","166569","","401266",""
"1980年","43000","熊本県","","","","","872989","","202043","","197104","","448018",""
"1980年","44000","大分県","","","","","598393","","115510","","148628","","316758",""
"1980年","45000","宮崎県","","","","","575870","","132421","","136762","","289173",""
"1980年","46000","鹿児島県","","","","","869082","","208603","","205855","","428727",""
"1980年","47000","沖縄県","","","","","464374","","53931","","92187","","282164",""
"1985年","01000","北海道","","","","","2744844","","332034","","616489","","1673622",""
"1985年","02000","青森県","","","","","755372","","172836","","155387","","389081",""
"1985年","03000","岩手県","","","","","753569","","185324","","191619","","352374",""
"1985年","04000","宮城県","","","","","1069988","","150932","","276818","","605503",""
"1985年","05000","秋田県","","","","","639718","","135259","","177609","","305560",""
"1985年","06000","山形県","","","","","666837","","130899","","218338","","302989",""
"1985年","07000","福島県","","","","","1076860","","197085","","359554","","488876",""
"1985年","08000","茨城県","","","","","1358990","","219575","","460249","","643998",""
"1985年","09000","栃木県","","","","","960539","","126797","","366542","","444552",""
"1985年","10000","群馬県","","","","","985125","","124072","","376044","","458342",""
"1985年","11000","埼玉県","","","","","2854633","","139405","","1051967","","1573834",""
"1985年","12000","千葉県","","","","","2487246","","196922","","720984","","1488511",""
"1985年","13000","東京都","","","","","6229170","","37485","","1785930","","4145328",""
"1985年","14000","神奈川県","","","","","3657228","","61945","","1309155","","2156260",""
"1985年","15000","新潟県","","","","","1292596","","177760","","451437","","632994",""
"1985年","16000","富山県","","","","","592521","","52775","","230354","","296436",""
"1985年","17000","石川県","","","","","596998","","50076","","198597","","333410",""
"1985年","18000","福井県","","","","","442717","","41786","","173051","","218703",""
"1985年","19000","山梨県","","","","","429286","","62973","","146901","","208247",""
"1985年","20000","長野県","","","","","1166952","","195256","","435248","","516589",""
"1985年","21000","岐阜県","","","","","1052002","","73337","","453181","","503563",""
"1985年","22000","静岡県","","","","","1887517","","164154","","741259","","932327",""
"1985年","23000","愛知県","","","","","3313459","","150303","","1353968","","1722795",""
"1985年","24000","三重県","","","","","874868","","85621","","326608","","438196",""
"1985年","25000","滋賀県","","","","","567330","","46399","","229897","","278104",""
"1985年","26000","京都府","","","","","1263061","","56834","","410153","","747177",""
"1985年","27000","大阪府","","","","","4197694","","36742","","1473334","","2475759",""
"1985年","28000","兵庫県","","","","","2494319","","106675","","840154","","1439139",""
"1985年","29000","奈良県","","","","","582940","","36041","","186469","","339068",""
"1985年","30000","和歌山県","","","","","518457","","74153","","140508","","281078",""
"1985年","31000","鳥取県","","","","","330904","","60994","","94068","","166188",""
"1985年","32000","島根県","","","","","423440","","80479","","125028","","208585",""
"1985年","33000","岡山県","","","","","966388","","109366","","340234","","486802",""
"1985年","34000","広島県","","","","","1406890","","115984","","464721","","780109",""
"1985年","35000","山口県","","","","","793656","","98937","","231075","","436612",""
"1985年","36000","徳島県","","","","","418440","","69774","","121059","","206565",""
"1985年","37000","香川県","","","","","518631","","63177","","161338","","276593",""
"1985年","38000","愛媛県","","","","","750098","","120402","","217183","","381387",""
"1985年","39000","高知県","","","","","427768","","80162","","89675","","233198",""
"1985年","40000","福岡県","","","","","2195789","","138830","","563399","","1363263",""
"1985年","41000","佐賀県","","","","","434732","","79005","","116497","","223838",""
"1985年","42000","長崎県","","","","","733093","","121243","","163501","","415680",""
"1985年","43000","熊本県","","","","","897536","","183665","","204850","","472773",""
"1985年","44000","大分県","","","","","603500","","103241","","146457","","328768",""
"1985年","45000","宮崎県","","","","","582150","","121900","","134573","","300903",""
"1985年","46000","鹿児島県","","","","","876581","","189473","","202822","","448201",""
"1985年","47000","沖縄県","","","","","518119","","54106","","99931","","322426",""
"1990年","01000","北海道","","","","","2796200","","290867","","630809","","1763593",""
"1990年","02000","青森県","","","","","751672","","149530","","170710","","396971",""
"1990年","03000","岩手県","","","","","758290","","155356","","212474","","370143",""
"1990年","04000","宮城県","","","","","1132188","","123479","","312531","","662211",""
"1990年","05000","秋田県","","","","","631686","","105594","","195871","","312451",""
"1990年","06000","山形県","","","","","668519","","104857","","234626","","316925",""
"1990年","07000","福島県","","","","","1094438","","151443","","392124","","523179",""
"1990年","08000","茨城県","","","","","1465527","","171652","","520444","","735438",""
"1990年","09000","栃木県","","","","","1025230","","101790","","397931","","500718",""
"1990年","10000","群馬県","","","","","1041852","","99167","","406254","","509546",""
"1990年","11000","埼玉県","","","","","3320344","","111877","","1178007","","1917328",""
"1990年","12000","千葉県","","","","","2846255","","157781","","816539","","1774061",""
"1990年","13000","東京都","","","","","6484814","","33177","","1786620","","4385700",""
"1990年","14000","神奈川県","","","","","4157079","","53687","","1400341","","2552923",""
"1990年","15000","新潟県","","","","","1308482","","135499","","475238","","670321",""
"1990年","16000","富山県","","","","","606155","","39215","","242293","","311872",""
"1990年","17000","石川県","","","","","620231","","39104","","212034","","354325",""
"1990年","18000","福井県","","","","","450826","","32472","","179090","","230089",""
"1990年","19000","山梨県","","","","","451051","","51454","","159947","","228233",""
"1990年","20000","長野県","","","","","1194752","","166617","","447276","","559293",""
"1990年","21000","岐阜県","","","","","1099730","","55283","","473551","","548097",""
"1990年","22000","静岡県","","","","","2013656","","136119","","798637","","1029408",""
"1990年","23000","愛知県","","","","","3601814","","128680","","1473141","","1901910",""
"1990年","24000","三重県","","","","","921901","","66786","","355104","","474467",""
"1990年","25000","滋賀県","","","","","614221","","34527","","255076","","309539",""
"1990年","26000","京都府","","","","","1310827","","45882","","422245","","786812",""
"1990年","27000","大阪府","","","","","4424073","","29594","","1525347","","2638168",""
"1990年","28000","兵庫県","","","","","2631087","","84851","","878606","","1554059",""
"1990年","29000","奈良県","","","","","634437","","28132","","202182","","380657",""
"1990年","30000","和歌山県","","","","","521763","","63542","","146093","","291796",""
"1990年","31000","鳥取県","","","","","329829","","51756","","99020","","170602",""
"1990年","32000","島根県","","","","","410528","","62891","","126264","","213033",""
"1990年","33000","岡山県","","","","","982239","","86017","","347743","","518825",""
"1990年","34000","広島県","","","","","1451288","","88934","","486415","","832912",""
"1990年","35000","山口県","","","","","788871","","78401","","238611","","448388",""
"1990年","36000","徳島県","","","","","416174","","56989","","125531","","215707",""
"1990年","37000","香川県","","","","","526431","","50191","","163296","","295907",""
"1990年","38000","愛媛県","","","","","748538","","98555","","224488","","397464",""
"1990年","39000","高知県","","","","","421527","","67037","","93552","","239749",""
"1990年","40000","福岡県","","","","","2284076","","114379","","606377","","1450404",""
"1990年","41000","佐賀県","","","","","438878","","66142","","124120","","236360",""
"1990年","42000","長崎県","","","","","732039","","96896","","174147","","434701",""
"1990年","43000","熊本県","","","","","900921","","150237","","222359","","497429",""
"1990年","44000","大分県","","","","","602534","","80692","","159920","","340661",""
"1990年","45000","宮崎県","","","","","580347","","100578","","148490","","311164",""
"1990年","46000","鹿児島県","","","","","849300","","146277","","205890","","467366",""
"1990年","47000","沖縄県","","","","","552719","","47295","","100722","","360451",""
"1995年","01000","北海道","","","","","2935207","","251434","","658540","","1881483",""
"1995年","02000","青森県","","","","","775411","","124232","","184534","","426433",""
"1995年","03000","岩手県","","","","","772555","","124837","","221365","","400782",""
"1995年","04000","宮城県","","","","","1211112","","95534","","319950","","743999",""
"1995年","05000","秋田県","","","","","629941","","79926","","195627","","332322",""
"1995年","06000","山形県","","","","","675160","","84933","","231855","","339708",""
"1995年","07000","福島県","","","","","1126170","","117560","","392816","","575236",""
"1995年","08000","茨城県","","","","","1575247","","142143","","533203","","835361",""
"1995年","09000","栃木県","","","","","1080416","","87278","","389283","","561762",""
"1995年","10000","群馬県","","","","","1091272","","83222","","401218","","564569",""
"1995年","11000","埼玉県","","","","","3674571","","99990","","1178655","","2198202",""
"1995年","12000","千葉県","","","","","3124931","","136962","","821687","","2004533",""
"1995年","13000","東京都","","","","","6631849","","31325","","1614837","","4547134",""
"1995年","14000","神奈川県","","","","","4477466","","50332","","1345876","","2832997",""
"1995年","15000","新潟県","","","","","1354184","","119883","","474719","","720817",""
"1995年","16000","富山県","","","","","632871","","34734","","244989","","335098",""
"1995年","17000","石川県","","","","","652627","","34066","","211731","","384397",""
"1995年","18000","福井県","","","","","462969","","29423","","172058","","249162",""
"1995年","19000","山梨県","","","","","478891","","45872","","163436","","252757",""
"1995年","20000","長野県","","","","","1248984","","155541","","441997","","619478",""
"1995年","21000","岐阜県","","","","","1148530","","49692","","456067","","605027",""
"1995年","22000","静岡県","","","","","2114278","","125084","","792120","","1119803",""
"1995年","23000","愛知県","","","","","3828027","","122634","","1435510","","2115883",""
"1995年","24000","三重県","","","","","981914","","61609","","355048","","529942",""
"1995年","25000","滋賀県","","","","","676220","","33047","","267257","","352168",""
"1995年","26000","京都府","","","","","1376518","","43194","","401574","","851512",""
"1995年","27000","大阪府","","","","","4658723","","27929","","1449286","","2843315",""
"1995年","28000","兵庫県","","","","","2745351","","78825","","869988","","1632542",""
"1995年","29000","奈良県","","","","","694701","","25672","","205987","","426917",""
"1995年","30000","和歌山県","","","","","546051","","60823","","146920","","310469",""
"1995年","31000","鳥取県","","","","","336895","","45633","","99257","","181207",""
"1995年","32000","島根県","","","","","416476","","55667","","123299","","227066",""
"1995年","33000","岡山県","","","","","1027927","","77875","","344069","","565228",""
"1995年","34000","広島県","","","","","1529704","","83251","","469216","","911549",""
"1995年","35000","山口県","","","","","813931","","68960","","243675","","470240",""
"1995年","36000","徳島県","","","","","425198","","49349","","124049","","230443",""
"1995年","37000","香川県","","","","","549382","","45207","","163203","","318891",""
"1995年","38000","愛媛県","","","","","771038","","88552","","223397","","423740",""
"1995年","39000","高知県","","","","","432453","","60691","","95471","","251874",""
"1995年","40000","福岡県","","","","","2460879","","100905","","609986","","1599858",""
"1995年","41000","佐賀県","","","","","459209","","56788","","129952","","255991",""
"1995年","42000","長崎県","","","","","757787","","80544","","179102","","465119",""
"1995年","43000","熊本県","","","","","936950","","127576","","228691","","539303",""
"1995年","44000","大分県","","","","","626061","","68247","","167537","","364848",""
"1995年","45000","宮崎県","","","","","608365","","87219","","154765","","340121",""
"1995年","46000","鹿児島県","","","","","879946","","125331","","208381","","508321",""
"1995年","47000","沖縄県","","","","","603639","","40318","","105245","","394452",""
"2000年","01000","北海道","","","","","2867676","","217908","","602859","","1881089",""
"2000年","02000","青森県","","","","","771302","","103735","","185571","","437142",""
"2000年","03000","岩手県","","","","","763523","","103992","","216142","","412187",""
"2000年","04000","宮城県","","","","","1212783","","74909","","308345","","759343",""
"2000年","05000","秋田県","","","","","614905","","64465","","181688","","341462",""
"2000年","06000","山形県","","","","","664791","","71049","","223328","","347535",""
"2000年","07000","福島県","","","","","1108459","","102115","","368425","","585926",""
"2000年","08000","茨城県","","","","","1570609","","120520","","504285","","866352",""
"2000年","09000","栃木県","","","","","1082609","","75214","","373403","","582635",""
"2000年","10000","群馬県","","","","","1084943","","71815","","378958","","584534",""
"2000年","11000","埼玉県","","","","","3702264","","84853","","1078947","","2303748",""
"2000年","12000","千葉県","","","","","3122015","","117446","","733961","","2070669",""
"2000年","13000","東京都","","","","","6469930","","27126","","1382941","","4572511",""
"2000年","14000","神奈川県","","","","","4459024","","43871","","1177728","","2954215",""
"2000年","15000","新潟県","","","","","1316614","","92127","","435752","","733329",""
"2000年","16000","富山県","","","","","619025","","23515","","229675","","343204",""
"2000年","17000","石川県","","","","","637733","","23925","","200209","","386267",""
"2000年","18000","福井県","","","","","453589","","20730","","164175","","253673",""
"2000年","19000","山梨県","","","","","475704","","40135","","156116","","259940",""
"2000年","20000","長野県","","","","","1238682","","134545","","421450","","639860",""
"2000年","21000","岐阜県","","","","","1134599","","41079","","422661","","626692",""
"2000年","22000","静岡県","","","","","2092579","","107709","","755887","","1139711",""
"2000年","23000","愛知県","","","","","3841471","","109181","","1360214","","2192586",""
"2000年","24000","三重県","","","","","967307","","48545","","334299","","543529",""
"2000年","25000","滋賀県","","","","","694874","","23518","","259531","","378477",""
"2000年","26000","京都府","","","","","1335672","","34853","","365766","","846116",""
"2000年","27000","大阪府","","","","","4445438","","22493","","1245424","","2795399",""
"2000年","28000","兵庫県","","","","","2745772","","63913","","788846","","1698171",""
"2000年","29000","奈良県","","","","","689656","","21003","","191152","","432140",""
"2000年","30000","和歌山県","","","","","525162","","52712","","132006","","310576",""
"2000年","31000","鳥取県","","","","","331275","","36741","","94790","","186316",""
"2000年","32000","島根県","","","","","401750","","40896","","112631","","234762",""
"2000年","33000","岡山県","","","","","998781","","62358","","309353","","576947",""
"2000年","34000","広島県","","","","","1491864","","65937","","423026","","923587",""
"2000年","35000","山口県","","","","","778287","","53894","","222034","","467310",""
"2000年","36000","徳島県","","","","","410605","","40352","","112939","","232078",""
"2000年","37000","香川県","","","","","536755","","37582","","149372","","322675",""
"2000年","38000","愛媛県","","","","","746937","","70957","","205711","","431364",""
"2000年","39000","高知県","","","","","415896","","50512","","87827","","253065",""
"2000年","40000","福岡県","","","","","2467669","","86591","","566654","","1640590",""
"2000年","41000","佐賀県","","","","","451432","","49601","","118528","","262407",""
"2000年","42000","長崎県","","","","","737915","","67198","","165956","","466197",""
"2000年","43000","熊本県","","","","","927938","","107480","","218013","","554938",""
"2000年","44000","大分県","","","","","610515","","55917","","156061","","367080",""
"2000年","45000","宮崎県","","","","","596774","","74013","","143649","","347773",""
"2000年","46000","鹿児島県","","","","","871711","","99323","","200548","","526217",""
"2000年","47000","沖縄県","","","","","613002","","34156","","104221","","412355",""
"2005年","01000","北海道","","","","","2785794","","200822","","495496","","1857082",""
"2005年","02000","青森県","","","","","748122","","95725","","146847","","436789",""
"2005年","03000","岩手県","","","","","734276","","94437","","178042","","413615",""
"2005年","04000","宮城県","","","","","1189491","","68985","","260754","","765734",""
"2005年","05000","秋田県","","","","","585921","","61307","","146880","","338573",""
"2005年","06000","山形県","","","","","643008","","66700","","185752","","356207",""
"2005年","07000","福島県","","","","","1075110","","92540","","309660","","599263",""
"2005年","08000","茨城県","","","","","1552565","","108019","","443203","","888758",""
"2005年","09000","栃木県","","","","","1075153","","69344","","331774","","605280",""
"2005年","10000","群馬県","","","","","1076488","","66291","","332689","","608896",""
"2005年","11000","埼玉県","","","","","3720823","","76358","","942028","","2401721",""
"2005年","12000","千葉県","","","","","3123763","","107971","","640754","","2124422",""
"2005年","13000","東京都","","","","","6269592","","25889","","1108964","","4575993",""
"2005年","14000","神奈川県","","","","","4563933","","41831","","1022655","","3109733",""
"2005年","15000","新潟県","","","","","1287546","","92194","","380795","","744314",""
"2005年","16000","富山県","","","","","604651","","24576","","201001","","348942",""
"2005年","17000","石川県","","","","","625787","","23237","","176786","","389749",""
"2005年","18000","福井県","","","","","442747","","20115","","140527","","260578",""
"2005年","19000","山梨県","","","","","469288","","37651","","135819","","266763",""
"2005年","20000","長野県","","","","","1206432","","131645","","354812","","655477",""
"2005年","21000","岐阜県","","","","","1125309","","39662","","372018","","652924",""
"2005年","22000","静岡県","","","","","2085634","","98047","","687182","","1186964",""
"2005年","23000","愛知県","","","","","3886217","","102471","","1273655","","2271237",""
"2005年","24000","三重県","","","","","968343","","45103","","306113","","557537",""
"2005年","25000","滋賀県","","","","","714215","","25145","","234322","","411386",""
"2005年","26000","京都府","","","","","1328122","","33764","","312201","","868092",""
"2005年","27000","大阪府","","","","","4326711","","22861","","1034592","","2796504",""
"2005年","28000","兵庫県","","","","","2732392","","62580","","692213","","1740780",""
"2005年","29000","奈良県","","","","","679555","","20349","","160754","","441326",""
"2005年","30000","和歌山県","","","","","510892","","49873","","110347","","310170",""
"2005年","31000","鳥取県","","","","","322356","","33269","","75543","","191665",""
"2005年","32000","島根県","","","","","386110","","37109","","93085","","236524",""
"2005年","33000","岡山県","","","","","984524","","59677","","272414","","586459",""
"2005年","34000","広島県","","","","","1471357","","59924","","380356","","936003",""
"2005年","35000","山口県","","","","","754444","","48908","","192829","","467924",""
"2005年","36000","徳島県","","","","","403257","","36475","","95211","","235209",""
"2005年","37000","香川県","","","","","522456","","35086","","130359","","321005",""
"2005年","38000","愛媛県","","","","","726201","","64126","","174634","","432943",""
"2005年","39000","高知県","","","","","402232","","47198","","71144","","247648",""
"2005年","40000","福岡県","","","","","2480747","","81219","","496942","","1676446",""
"2005年","41000","佐賀県","","","","","449091","","46533","","104795","","270243",""
"2005年","42000","長崎県","","","","","726965","","62011","","140390","","473801",""
"2005年","43000","熊本県","","","","","928934","","100095","","193175","","570915",""
"2005年","44000","大分県","","","","","608840","","51513","","136583","","377974",""
"2005年","45000","宮崎県","","","","","588853","","69948","","126238","","351717",""
"2005年","46000","鹿児島県","","","","","869589","","94335","","171497","","539970",""
"2005年","47000","沖縄県","","","","","635849","","32873","","91358","","427738",""
"2010年","01000","北海道","","","","","2701824","","181531","","429376","","1761386",""
"2010年","02000","青森県","","","","","702668","","81042","","127978","","413318",""
"2010年","03000","岩手県","","","","","679332","","76003","","153479","","393167",""
"2010年","04000","宮城県","","","","","1148862","","53219","","234210","","746752",""
"2010年","05000","秋田県","","","","","540842","","49929","","124501","","321378",""
"2010年","06000","山形県","","","","","600768","","55606","","164010","","336562",""
"2010年","07000","福島県","","","","","1006246","","71428","","272417","","560520",""
"2010年","08000","茨城県","","","","","1521879","","82873","","401004","","863268",""
"2010年","09000","栃木県","","","","","1042655","","54746","","300422","","582535",""
"2010年","10000","群馬県","","","","","1030632","","51801","","297640","","585636",""
"2010年","11000","埼玉県","","","","","3716285","","58301","","816866","","2352355",""
"2010年","12000","千葉県","","","","","3089184","","82826","","556856","","2074615",""
"2010年","13000","東京都","","","","","6387474","","22400","","912116","","4256323",""
